Episode: 0, Total Reward: 2594.0
Episode: 5, Total Reward: 945.0
Episode: 10, Total Reward: 2415.0
Episode: 15, Total Reward: 1966.0
Episode: 20, Total Reward: 2816.0
Episode: 25, Total Reward: 4200.0
Episode: 30, Total Reward: 1235.0
Episode: 35, Total Reward: 1205.0
Episode: 40, Total Reward: 2026.0
Episode: 45, Total Reward: 5470.0
Episode: 50, Total Reward: 1698.0
Episode: 55, Total Reward: 2817.0
Episode: 60, Total Reward: 2881.0
Episode: 65, Total Reward: 1949.0
Episode: 70, Total Reward: 4063.0
Episode: 75, Total Reward: 3587.0
Episode: 80, Total Reward: 2863.0
Episode: 85, Total Reward: 4796.0
Episode: 90, Total Reward: 2307.0
Episode: 95, Total Reward: 3316.0
Episode: 100, Total Reward: 2052.0
Episode: 105, Total Reward: 1771.0
Episode: 110, Total Reward: 3380.0
Episode: 115, Total Reward: 2208.0
Episode: 120, Total Reward: 1124.0
Episode: 125, Total Reward: 2416.0
Episode: 130, Total Reward: 4677.0
Episode: 135, Total Reward: 2333.0
Episode: 140, Total Reward: 1611.0
Episode: 145, Total Reward: 5698.0
Episode: 150, Total Reward: 4380.0
Episode: 155, Total Reward: 4469.0
Episode: 160, Total Reward: 1284.0
Episode: 165, Total Reward: 12839.0
Episode: 170, Total Reward: 12755.0
Episode: 175, Total Reward: 6156.0
Episode: 180, Total Reward: 5182.0
Episode: 185, Total Reward: 1303.0
Episode: 190, Total Reward: 3878.0
Episode: 195, Total Reward: 2027.0
Episode: 200, Total Reward: 23713.0
Episode: 205, Total Reward: 2588.0
Episode: 210, Total Reward: 5544.0
Episode: 215, Total Reward: 3050.0
Episode: 220, Total Reward: 5195.0
Episode: 225, Total Reward: 776.0
Episode: 230, Total Reward: 3978.0
Episode: 235, Total Reward: 2941.0
Episode: 240, Total Reward: 2452.0
Episode: 245, Total Reward: 1769.0
Episode: 250, Total Reward: 4705.0
Episode: 255, Total Reward: 773.0
Episode: 260, Total Reward: 4176.0
Episode: 265, Total Reward: 7231.0
Episode: 270, Total Reward: 940.0
Episode: 275, Total Reward: 1542.0
Episode: 280, Total Reward: 1067.0
Episode: 285, Total Reward: 12575.0
Episode: 290, Total Reward: 9942.0
Episode: 295, Total Reward: 3047.0
Episode: 300, Total Reward: 2012.0
Episode: 305, Total Reward: 2568.0
Episode: 310, Total Reward: 3502.0
Episode: 315, Total Reward: 945.0
Episode: 320, Total Reward: 1582.0
Episode: 325, Total Reward: 1484.0
Episode: 330, Total Reward: 1168.0
Episode: 335, Total Reward: 2134.0
Episode: 340, Total Reward: 551.0
Episode: 345, Total Reward: 1039.0
Episode: 350, Total Reward: 1445.0
Episode: 355, Total Reward: 3215.0
Episode: 360, Total Reward: 2300.0
Episode: 365, Total Reward: 1574.0
Episode: 370, Total Reward: 9981.0
Episode: 375, Total Reward: 4017.0
Episode: 380, Total Reward: 4132.0
Episode: 385, Total Reward: 1940.0
Episode: 390, Total Reward: 3932.0
Episode: 395, Total Reward: 13265.0
Episode: 400, Total Reward: 6099.0
Episode: 405, Total Reward: 16950.0
Episode: 410, Total Reward: 3421.0
Episode: 415, Total Reward: 5160.0
Episode: 420, Total Reward: 4333.0
Episode: 425, Total Reward: 6652.0
Episode: 430, Total Reward: 8315.0
Episode: 435, Total Reward: 761.0
Episode: 440, Total Reward: 2655.0
Episode: 445, Total Reward: 3767.0
Episode: 450, Total Reward: 7578.0
Episode: 455, Total Reward: 2711.0
Episode: 460, Total Reward: 2150.0
Episode: 465, Total Reward: 8904.0
Episode: 470, Total Reward: 3807.0
Episode: 475, Total Reward: 1891.0
Episode: 480, Total Reward: 1404.0
Episode: 485, Total Reward: 15252.0
Episode: 490, Total Reward: 2682.0
Episode: 495, Total Reward: 9903.0
Episode: 500, Total Reward: 3183.0
Episode: 505, Total Reward: 640.0
Episode: 510, Total Reward: 3451.0
Episode: 515, Total Reward: 2094.0
Episode: 520, Total Reward: 1976.0
Episode: 525, Total Reward: 1575.0
Episode: 530, Total Reward: 4623.0
Episode: 535, Total Reward: 4169.0
Episode: 540, Total Reward: 9196.0
Episode: 545, Total Reward: 5091.0
Episode: 550, Total Reward: 1404.0
Episode: 555, Total Reward: 1589.0
Episode: 560, Total Reward: 6189.0
Episode: 565, Total Reward: 7480.0
Episode: 570, Total Reward: 6452.0
Episode: 575, Total Reward: 6003.0
Episode: 580, Total Reward: 6680.0
Episode: 585, Total Reward: 3401.0
Episode: 590, Total Reward: 9300.0
Episode: 595, Total Reward: 5567.0
Episode: 600, Total Reward: 2996.0
Episode: 605, Total Reward: 14781.0
Episode: 610, Total Reward: 935.0
Episode: 615, Total Reward: 940.0
Episode: 620, Total Reward: 9778.0
Episode: 625, Total Reward: 1254.0
Episode: 630, Total Reward: 13269.0
Episode: 635, Total Reward: 4763.0
Episode: 640, Total Reward: 2046.0
Episode: 645, Total Reward: 6245.0
Episode: 650, Total Reward: 5775.0
Episode: 655, Total Reward: 3552.0
Episode: 660, Total Reward: 3980.0
Episode: 665, Total Reward: 6452.0
Episode: 670, Total Reward: 1408.0
Episode: 675, Total Reward: 3838.0
Episode: 680, Total Reward: 8192.0
Episode: 685, Total Reward: 7811.0
Episode: 690, Total Reward: 1624.0
Episode: 695, Total Reward: 1677.0
Episode: 700, Total Reward: 2860.0
Episode: 705, Total Reward: 2311.0
Episode: 710, Total Reward: 2936.0
